,AZN:LSE,,HHV:LSE,,PHNX:LSE,,SRE:LSE,,JET2:LSE,,ABF:LSE,,III:LSE,
"=GOOGLEFINANCE(LEFT(B1,FIND("":"",B1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
"=GOOGLEFINANCE(LEFT(D1,FIND("":"",D1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",01/04/2024 16:00:00,67.25,03/04/2024 16:30:00,41.8,02/04/2024 16:30:00,549,01/04/2024 16:00:00,71.36,02/04/2024 16:30:00,1440,02/04/2024 16:30:00,2465,01/04/2024 16:00:00,3.99
"=GOOGLEFINANCE(LEFT(F1,FIND("":"",F1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",02/04/2024 16:00:00,67,04/04/2024 16:30:00,41.8,03/04/2024 16:30:00,548,02/04/2024 16:00:00,71.8,03/04/2024 16:30:00,1458,03/04/2024 16:30:00,2470,02/04/2024 16:00:00,4.08
"=GOOGLEFINANCE(LEFT(H1,FIND("":"",H1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",03/04/2024 16:00:00,66.81,09/04/2024 16:30:00,41.8,04/04/2024 16:30:00,552.5,03/04/2024 16:00:00,70.97,04/04/2024 16:30:00,1499,04/04/2024 16:30:00,2489,03/04/2024 16:00:00,4.08
"=GOOGLEFINANCE(LEFT(J1,FIND("":"",J1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",04/04/2024 16:00:00,67.34,10/04/2024 16:30:00,41,05/04/2024 16:30:00,547.5,04/04/2024 16:00:00,70.84,05/04/2024 16:30:00,1468,05/04/2024 16:30:00,2414,04/04/2024 16:00:00,4.07
,05/04/2024 16:00:00,67.45,11/04/2024 16:30:00,41,08/04/2024 16:30:00,555.5,05/04/2024 16:00:00,70.52,08/04/2024 16:30:00,1519,08/04/2024 16:30:00,2410,05/04/2024 16:00:00,4
,08/04/2024 16:00:00,67.7,12/04/2024 16:30:00,41,09/04/2024 16:30:00,552.5,08/04/2024 16:00:00,70.77,09/04/2024 16:30:00,1507,09/04/2024 16:30:00,2423,08/04/2024 16:00:00,3.91
,09/04/2024 16:00:00,68.41,15/04/2024 16:30:00,41,10/04/2024 16:30:00,542.5,09/04/2024 16:00:00,71.68,10/04/2024 16:30:00,1478,10/04/2024 16:30:00,2429,09/04/2024 16:00:00,3.99
,10/04/2024 16:00:00,68.11,16/04/2024 16:30:00,41,11/04/2024 16:30:00,511,10/04/2024 16:00:00,70.18,11/04/2024 16:30:00,1466,11/04/2024 16:30:00,2406,10/04/2024 16:00:00,3.89
,11/04/2024 16:00:00,69.45,17/04/2024 16:30:00,41,12/04/2024 16:30:00,503.5,11/04/2024 16:00:00,69.25,12/04/2024 16:30:00,1423,12/04/2024 16:30:00,2406,11/04/2024 16:00:00,3.85
,12/04/2024 16:00:00,68.93,19/04/2024 16:30:00,41,15/04/2024 16:30:00,508.5,12/04/2024 16:00:00,68.69,15/04/2024 16:30:00,1431,15/04/2024 16:30:00,2408,12/04/2024 16:00:00,3.69
