Date,CIECH,GINOROSSI,JUTRZENKA,KRUK,TAURONPE,WILBO,WIG
40910,,,,,,,
40911,-0.013801035,0,0.0375,0.005083179,0.01682243,0.03030303,0.003848497
40912,-0.008746356,-0.050955414,0.012048193,-0.004597701,0.007352941,0,-0.007295966
40913,-0.011764706,0,-0.027777778,-0.004618938,-0.005474453,0.029411765,-0.011620327
40917,-0.028571429,0.006711409,-0.012244898,0.009280742,-0.009174312,0,-0.01054866
40918,0.075367647,0,-0.008264463,-0.016091954,0,-0.057142857,0.007160706
40919,0,-0.006666667,0.029166667,-0.01635514,0.003703704,0.03030303,-0.007776928
40920,0.008547009,0.006711409,0.089068826,-0.002375297,0.005535055,0,0.020009272
40921,-0.019774011,-0.006666667,-0.033457249,0.021666667,-0.00733945,0.044117647,-0.0018832
40924,0.011527378,0.006711409,0.046153846,-0.006758331,-0.007393715,0.056338028,0.006179327
40925,0.050712251,0.026666667,0.047794118,0.001173158,-0.011173184,0.026666667,0.013097124
40926,0.04175705,0,-0.021052632,0.007733771,0.015065913,-0.012987013,0.008516885
40927,-0.010931806,0,0,-0.004651163,-0.003710575,0.013157895,0.005164322
40928,0,0.051948052,0.003584229,0.007009346,0.001862197,0,0.006641682
40932,0,0.030864198,-0.007142857,-0.002320186,-0.005576208,0.012987013,0.002220458
40933,0.015263158,-0.035928144,0.007194245,-0.004418605,-0.007476636,-0.025641026,-0.001614629
40934,0.003628823,0.02484472,-0.025,-0.003737445,-0.007532957,0.039473684,0.021667985
40935,-0.000516529,0.012121212,0.010989011,0.009378664,-0.0056926,0,0.001694081
40938,0,-0.011976048,0.014492754,-0.00116144,0.020992366,-0.063291139,0.003271233
40939,0.006718346,-0.054545455,0.010714286,-0.014418605,0.009345794,-0.040540541,0.008065211
40940,-0.004106776,0.019230769,0.007067138,0.007550731,0.012962963,0.028169014,0.012477598
40941,-0.015463918,0.025157233,0.049122807,-0.00117096,-0.005484461,0,0.003953094
40942,0.013612565,0.122699387,-0.016722408,0.01992966,-0.001838235,0,0.003126274
40945,-0.003099174,0.027322404,0,0,0,0,0.004697321
40946,-0.015544041,-0.031914894,0.017006803,0.071264368,-0.012891344,0,-0.000366101
40947,-0.034210526,0.010989011,0.003344482,-0.002145923,0.01119403,0.01369863,0.003137214
40948,-0.038147139,-0.016304348,-0.01,-0.025806452,0,0,-0.005993892
40949,0.008498584,-0.060773481,-0.013468013,-0.014348786,0,0,-0.013711325
40952,0.001685393,0.017647059,0.017064846,0.007838746,-0.001845018,0,0.008795609
40953,-0.01121705,0,-0.010067114,0,0,0,-0.003811026
40954,0.00226886,0.023121387,0.016949153,0.021555556,0.020332717,0.027027027,0.00465412
40955,-0.003961517,-0.02259887,-0.01,0.018055253,-0.012681159,0.131578947,0.000336407
40956,0.011363636,0,0.01010101,-0.004273504,0.018348624,0,0.012757535
40959,0.038764045,0.011560694,0.01,0.006223176,-0.028828829,0,-0.002704844
40960,-0.010816658,-0.017142857,-0.01650165,0.002345916,0.001855288,0,0.000540105
40961,-0.015855659,-0.011627907,-0.003355705,-0.032340426,-0.009259259,0,-0.009523635
40962,0,-0.011764706,0,0.018029903,-0.01682243,0.11627907,-0.00986983
40963,-0.005555556,0.023809524,-0.013468013,0.004319654,0.019011407,-0.135416667,0.0058483
40966,0.005586592,-0.01744186,0.010238908,0.024301075,-0.031716418,0,-0.000852542
40967,0.012777778,-0.01183432,0,-0.000629855,-0.005780347,0.012048193,0.003412836
40968,0.003839824,0.005988024,-0.02027027,-0.010504202,-0.011627907,-0.011904762,-0.001081827
40969,-0.021311475,0.017857143,0,-0.004670913,0.001960784,0,-0.000641955
40970,0.000558347,0.011695906,0,-0.007039249,0.019569472,0,0.002548522
40973,-0.001116071,0,0,0.009667025,-0.011516315,-0.012048193,-0.013338226
40974,-0.05027933,-0.028901734,-0.034482759,-0.040425532,-0.017475728,-0.036585366,-0.014715346
40975,0.030588235,0.005952381,0.028571429,0.015521064,0.007905138,0.037974684,0.007696441
40976,0.02739726,0.00591716,-0.017361111,-0.007860262,-0.015686275,-0.012195122,0.013401632
40980,-0.002777778,-0.029411765,0.007067138,0.040713028,0,0,-0.002455612
40981,-0.005571031,0,0,0.001057306,0.017928287,-0.024691358,0.001470301
40982,-0.00280112,0.03030303,0.003508772,-0.032530629,0.003913894,0,0.003962991
40983,0.008426966,-0.035294118,-0.017482517,0.026637555,0.007797271,-0.012658228,0.014663025
40984,0.044568245,0.012195122,-0.003558719,0.01871544,-0.011605416,0,0.00505459
40987,-0.0416,0.012048193,0.007142857,-0.04217119,0.037181996,0,-0.001702879
40988,0.043405676,-0.047619048,0.007092199,0.006974717,-0.01509434,0,-0.0058262
40989,-0.122666667,-0.0375,-0.014084507,0.023593074,0.001915709,0,-0.009422495
40990,-0.023100304,-0.025974026,-0.075,0.015013745,-0.009560229,-0.038461538,-0.000933891
40991,-0.074673304,-0.06,-0.065637066,0.019791667,-0.028957529,-0.013333333,-0.016729438
40994,0.022192334,-0.085106383,0.016528926,0.029622063,0.023856859,0.027027027,0.009197141
40995,0.046052632,0.007751938,-0.024390244,0.001984127,0.013592233,-0.026315789,0.007678478
40996,0.042767296,0.015384615,0.041666667,-0.006930693,0,0.013513514,0.007395774
40997,0.002412545,0.015151515,0.052,0.014955135,-0.007662835,0.04,-0.005382523
40998,-0.025270758,-0.014925373,0.007604563,-0.023379175,-0.019305019,0,-0.013946953
